Route Option,Distance,Time of day,Delivery Vehicles,Escort Vehicles,ISR UAVs,Value of Supplies,Urgency of Supplies,Weather,Drones able to fly,% chance of IEDs,% chance to encounter enemy forces,Expected Enemy Capability,Threat to Delivery Vehicle,Threat to Escort Vehicle,Threat to ISR UAVs,Road Quality,Route Acceptability (current hour)
1,3 hours,00:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,35,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
1,3 hours,01:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,35,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
1,3 hours,02:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Heavy Cloud,No,35,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
1,3 hours,03:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Rain,Yes,35,25,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
1,3 hours,04:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Rain,Yes,35,30,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
1,3 hours,05:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,35,30,"Equipped with medium quality assault rifles, grenades, low training levels, ",Low - Medium,Low,Low,Medium,Acceptable
1,3 hours,06:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,35,30,"Equipped with medium quality assault rifles, grenades, low training levels, ",Low - Medium,Low,Low,Medium,Acceptable
1,3 hours,07:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,35,30,"Equipped with medium quality assault rifles, grenades, low training levels, ",Low - Medium,Low,Low,Medium,Acceptable
1,3 hours,08:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,35,30,"Equipped with medium quality assault rifles, grenades, low training levels, ",Low - Medium,Low,Low,Medium,Acceptable
1,3 hours,09:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,35,55,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
1,3 hours,10:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,35,30,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
1,3 hours,11:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,35,30,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
1,3 hours,12:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,35,30,"Equipped with medium quality assault rifles, grenades, low training levels, ",Low - Medium,Low,Low,Medium,Acceptable
1,3 hours,13:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,35,40,"Equipped with medium quality assault rifles, grenades, low training levels, ",Low - Medium,Low,Low,Medium,Rejected
1,3 hours,14:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,35,45,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
1,3 hours,15:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,35,40,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Rejected
1,3 hours,16:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,35,35,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Acceptable
1,3 hours,17:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,35,40,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
